ano,uf,instituto,periodo_campo,candidato_resultado,ranking_voto_bruto,ranking_pesquisa,share_voto_nominal_calculado,share_pesquisa,erro_estimativa_pp,erro_distancia_corte_pp
2010,ES,Flexconsult,26-28/09,Rita Camata PSDB,3.0,3.0,0.1074092073125559,0.16002490660024907,5.261569928769316,5.845363363485372
2010,ES,Flexconsult,26-28/09,Ricardo Ferraço PMDB,1.0,4.0,0.445474331313255,0.05479452054794521,-39.06798107653098,-38.48418764181493
2010,ES,Ibope,07-09/09,Magno Malta PR,2.0,1.0,0.3676063029648442,0.42142857142857143,5.382226846372723,4.999999999999999
2010,ES,Ibope,07-09/09,Ricardo Ferraço PMDB,1.0,2.0,0.445474331313255,0.37142857142857144,-7.404575988468354,-7.786802834841078
2010,ES,Ibope,07-09/09,Rita Camata PSDB,3.0,3.0,0.1074092073125559,0.17142857142857143,6.401936411601553,6.019709565228833
2010,ES,Ibope,07-09/09,Ricardo Ferraço PMDB,1.0,4.0,0.445474331313255,0.03571428571428571,-40.97600455989693,-41.35823140626965
2010,ES,Visão,20-22/09,Magno Malta PR,2.0,1.0,0.3676063029648442,0.4051250762660159,3.7518773301171704,4.331909701037223
2010,ES,Visão,20-22/09,Ricardo Ferraço PMDB,1.0,2.0,0.445474331313255,0.3618059792556437,-8.36683520576113,-7.786802834841078
2010,ES,Visão,20-22/09,Rita Camata PSDB,3.0,3.0,0.1074092073125559,0.17571690054911532,6.830769323655941,7.410801694575998
2010,ES,Visão,20-22/09,Ricardo Ferraço PMDB,1.0,4.0,0.445474331313255,0.05735204392922514,-38.81222873840298,-38.23219636748293
2010,GO,Ecope,8–26 de agosto de 2010,Demóstenes Torres[nota 1] DEM,1.0,1.0,0.4408920396433017,0.37178596247394025,-6.910607716936146,-5.811437458051011
2010,GO,Ecope,8–26 de agosto de 2010,Lúcia Vânia PSDB,2.0,2.0,0.3056407644373572,0.29464906184850587,-1.0991702588851349,0.0
2010,GO,Ecope,8–26 de agosto de 2010,Pedro Wilson Guimarães PT,3.0,3.0,0.1794989200369899,0.13342599027102153,-4.607292976596836,-3.508122717711702
2010,GO,Ecope,8–26 de agosto de 2010,Paulo Roberto Cunha PP,4.0,4.0,0.0464904878295847,0.0660180681028492,1.9527580273264504,3.051928286211588
2010,GO,Ecope,8–26 de agosto de 2010,Elias Vaz PSOL,6.0,5.0,0.009230742838097,0.03752605976372481,2.829531692562781,3.9287019514479162
2010,GO,Ecope,8–26 de agosto de 2010,Renner Reis[nota 3] PP,5.0,6.0,0.0156051387286825,0.035441278665740095,1.9836139937057593,3.0827842525908906
2010,GO,Ecope,8–26 de agosto de 2010,Adib Elias PMDB,9.0,7.0,8.169160439043358e-07,0.02988186240444753,2.9881045488403624,4.087274807725493
2010,GO,Ecope,8–26 de agosto de 2010,Rubens Donizzeti PSTU,7.0,8.0,0.0015935989726463,0.018763029881862407,1.7169430909216108,2.8161133498067414
2010,GO,Ecope,8–26 de agosto de 2010,Bernardo Bispo PCB,8.0,9.0,0.0010474905972963,0.012508686587908269,1.1461195990611968,2.2452898579463323
2010,GO,Ibope,21-23/09,Demóstenes Torres[nota 1] DEM,1.0,1.0,0.4408920396433017,0.37681159420289856,-6.408044544040314,-4.104837665521982
2010,GO,Ibope,21-23/09,Lúcia Vânia PSDB,2.0,2.0,0.3056407644373572,0.2826086956521739,-2.303206878518332,0.0
