ano,uf,pagina,url,tabela,linha,periodo_campo,instituto,margem_erro_texto,margem_erro_pp,formato,candidato_rotulo,percentual,valor_original,contexto
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,1,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Alfredo (PR),22.0,22%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,1,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Hissa (PDT),17.0,17%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,1,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Castro (REDE),5.0,5%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,1,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Fernando (PSOL),6.0,6%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,1,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Rondinely (PSOL),2.0,2%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,2,18 de setembro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Braga (MDB),48.0,48%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,2,18 de setembro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Vanessa (PCdoB),27.0,27%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,2,18 de setembro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Plinio (PSDB),20.0,20%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,2,18 de setembro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Alfredo (PR),28.0,28%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,2,18 de setembro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Hissa (PDT),15.0,15%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
