ano,uf,pagina,url,tabela,linha,candidato_resultado,partido_resultado,votos,percentual_publicado,percentual_original,fonte_primaria,fonte_estruturada,ranking_voto_bruto,eleito_top2_voto_bruto,share_voto_nominal_calculado,diferenca_percentual_publicado_pp
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,14,1,Cid Gomes,,3228533,41.62,"41,62%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,2,True,0.2080813899604543,20.811861003954565
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,14,2,Girão,,1325786,17.09,"17,09%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,3,False,0.08544790890169339,8.54520910983066
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,14,3,Eunício,,1313793,16.93,"16,93%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,4,False,0.0846749509948683,8.46250490051317
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,14,4,Mayra,,882019,11.37,"11,37%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,5,False,0.056846790629530485,5.685320937046951
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,14,5,Pedro,,334561,4.31,"4,31%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,6,False,0.021562709102418823,2.1537290897581176
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,14,6,Anna Karina,,316922,4.09,"4,09%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,7,False,0.020425862231870356,2.0474137768129643
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,14,7,Pinheiro,,183949,2.37,"2,37%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,8,False,0.011855651963859626,1.1844348036140377
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,14,8,Simões,,150644,1.94,"1,94%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,9,False,0.009709119562724829,0.9690880437275171
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,14,9,Saraiva,,21654,0.28,"0,28%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,10,False,0.00139561665257988,0.14043833474201203
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,14,10,Burns[nota 4],,0,0.0,0%,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,11,False,0.0,0.0
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,14,11,Barroso[nota 5],,0,0.0,0%,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,12,False,0.0,0.0
2018,CE,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,14,12,Totais,Totais,7757861,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,1,True,0.5,
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,1,Leila,,467787,17.76,"17,76%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,2,True,0.08878378024435767,8.881621975564235
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,2,Izalci,,403735,15.33,"15,33%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,3,False,0.07662701083389607,7.667298916610392
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,3,Cristovam,,317778,12.06,"12,06%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,4,False,0.060312775084582285,6.028722491541771
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,4,Faraj,,268078,10.18,"10,18%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,5,False,0.050879948011267766,5.092005198873224
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,5,Wasny,,218058,8.28,"8,28%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,6,False,0.041386386437682415,4.141361356231759
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,6,Roque,,202834,7.7,"7,7%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,7,False,0.0384969425872973,3.8503057412702697
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,7,Chico,,195641,7.43,"7,43%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,8,False,0.03713174489839687,3.716825510160312
