ano,uf,pagina,url,tabela,linha,periodo_campo,instituto,margem_erro_texto,margem_erro_pp,formato,candidato_rotulo,percentual,valor_original,contexto,fonte_pesquisa,id_rodada,formato_inferido,formato_confirmado,fonte_primaria_confirmada,publicado_em,cand_norm,candidato_pesquisa,candidato_resultado,share_voto_nominal_calculado,eleito_top2_voto_bruto,ranking_voto_bruto
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1.0,1.0,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Plinio (PSDB),15.0,15%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código],wikipedia,,,,,,plinio psdb,Plinio (PSDB),Plínio Valério PSDB,0.2545885989574422,True,1.0
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1.0,1.0,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Alfredo (PR),22.0,22%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código],wikipedia,,,,,,alfredo pr,Alfredo (PR),Alfredo Nascimento PR,0.1737594200273188,False,4.0
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1.0,1.0,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Hissa (PDT),17.0,17%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código],wikipedia,,,,,,hissa pdt,Hissa (PDT),Hissa Abrahão PDT,0.08622494740094,False,6.0
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1.0,1.0,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Castro (REDE),5.0,5%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código],wikipedia,,,,,,castro rede,Castro (REDE),Luiz Castro REDE,0.1773540576221595,False,3.0
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1.0,1.0,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Fernando (PSOL),6.0,6%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código],wikipedia,,,,,,fernando psol,Fernando (PSOL),Luiz Fernando Santos PSOL,0.0083829132270281,False,7.0
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1.0,1.0,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Rondinely (PSOL),2.0,2%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código],wikipedia,,,,,,rondinely psol,Rondinely (PSOL),Rondinely Fonseca PSOL,0.0004467756067227,False,8.0
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1.0,2.0,18 de setembro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Braga (MDB),48.0,48%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código],wikipedia,,,,,,braga mdb,Braga (MDB),Eduardo Braga MDB,0.1852017550199737,True,2.0
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1.0,2.0,18 de setembro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Vanessa (PCdoB),27.0,27%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código],wikipedia,,,,,,vanessa pcdob,Vanessa (PCdoB),Vanessa Grazziotin PCdoB,0.1140415321384144,False,5.0
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1.0,2.0,18 de setembro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Plinio (PSDB),20.0,20%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código],wikipedia,,,,,,plinio psdb,Plinio (PSDB),Plínio Valério PSDB,0.2545885989574422,True,1.0
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1.0,2.0,18 de setembro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Alfredo (PR),28.0,28%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código],wikipedia,,,,,,alfredo pr,Alfredo (PR),Alfredo Nascimento PR,0.1737594200273188,False,4.0
