ano,uf,candidato_pesquisa,candidato_resultado
2018,PI,Jesus (PSOL),Jesus Rodrigues PSOL
2018,PI,Quem (AVANTE),Quem-Quem AVANTE
2018,PI,Flávia (PRP),Flávia Barbosa PRP
2018,PI,Genival (PSC),Genival Oliveira PSC
2018,PI,Santos (PSTU),Gervásio Santos PSTU
2018,PI,Fausto (PCB),Fausto Ripardo PCB
2018,PI,Albetiza (PCO),Albetiza Araújo PCO
2018,PI,Andrade (DC),Lafayette Andrade DC
2018,PR,Requião (MDB),Roberto Requião
2018,PR,Richa (PSDB),Beto Richa
2018,PR,Arns (REDE),Flávio Arns
2018,PR,Canziani (PTB),Alex Canziani
2018,PR,Mirian (PT),Mirian Gonçalves
2018,PR,Nelton (PDT),Nelton Friedrich
2018,PR,Oriovisto (PODE),Oriovisto Guimarães
2018,PR,NS / NR,
2018,PR,Pickler (PSL),
2018,RJ,Maia (DEM),Cesar Maia
2018,RJ,Lindbergh (PT),Lindbergh Farias
