id_rodada,ano,uf,instituto,periodo_campo,soma_percentuais_candidatos,numero_candidatos,formato_inferido,formato_confirmado,fonte_primaria_confirmada,publicado_em,url,linha_original
2010-AM-011,2010,AM,Action,11-15/09,177.0,7,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Action 11-15/09 - Eduardo Braga (PMDB) 81%, Vanessa Graziotin (PCdoB) 41%, Arthur Virgílio (PSDB) 40%, Jefferson Praia (PDT) 7%, Marilene Corrêa (PT) 6%, Francisco Castelo (PCB) 1%, Evandro Carrera (Psol) 1%."
2010-AM-012,2010,AM,Ibope,10-12/09,168.0,6,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 10-12/09 - Eduardo Braga (PMDB) 80%, Vanessa Graziotin (PCdoB) 39%, Arthur Virgílio (PSDB) 34%, Jefferson Praia (PDT) 9%, Marilene Corrêa (PT) 5%, Francisco Castelo (PCB) 1%."
2010-BA-013,2010,BA,Datafolha,28-29/09,139.0,9,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Datafolha 28-29/09 - César Borges (PR) 34%, Lídice da Mata (PSB) 34%, Walter Pinheiro (PT) 30%, José Carlos Aleluia (DEM) 13%, José Ronaldo (DEM) 12%, Evaldo Brito (PTB) 11%, Edson Duarte (PV) 3%, Zilmar (Psol) 1%, França (Psol) 1%."
2010-BA-014,2010,BA,Ibope,21-23/09,134.0,11,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 21-23/09 Walter Pinheiro (PT) 35%, Lídice da Mata (PSB) 32%, César Borges (PR) 29%, José Ronaldo (DEM) 12%, José Carlos Aleluia (DEM) 9%, Evaldo Brito (PTB) 9%, Edson Duarte (PV) 3%, Zilmar (Psol) 2%, França (Psol) 1%, Albione (PSTU) 1%, Carlos Sampaio (PCB) 1%."
2010-BA-015,2010,BA,Datafolha,13-14/09,100.0,10,nao_identificado,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Datafolha 13-14/09 - César Borges (PR) 25%, Lídice da Mata (PSB) 24%, Walter Pinheiro (PT) 23%, José Ronaldo (DEM) 9%, Evaldo Brito (PTB) 7%, José Carlos Aleluia (DEM) 6%, Edson Duarte (PV) 2%, Zilmar (Psol) 2%, França (Psol) 1%, Albione (PSTU) 1%."
2010-CE-016,2010,CE,Ibope,27-29/09,147.0,9,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 27-29/09 - Tasso Jereissati (PSDB) 50%, Eunício de Oliveira (PMDB) 47%, José Pimentel (PT) 42%, Alexandre Pereira (PPS) 3%, Marilene Torres (Psol) 1%, Tarcísio Leitão (PCB) 1%, Raquel Dias (PSTU) 1%, Reginaldo Araújo (PSTU) 1%, Paulo Eduardo Teixeira, o Pólo (PV) 1%."
2010-CE-017,2010,CE,Datafolha,9-10/09,123.0,10,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Datafolha 9-10/09 - Tasso Jereissati (PSDB) 48%, Eunício de Oliveira (PMDB) 34%, José Pimentel (PT) 31%, Tarcísio Leitão (PCB) 2%, Alexandre Pereira (PPS) 2%, Raquel Dias (PSTU) 2%, Marilene Torres (Psol) 1%, Reginaldo Araújo (PSTU) 1%, Benedito Oliveira (PCB) 1%, Paulo Eduardo Teixeira, o Pólo (PV) 1%."
2010-CE-018,2010,CE,Ibope,30/08,139.0,9,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 30/08-01/09 - Tasso Jereissati (PSDB) 63%, Eunício de Oliveira (PMDB) 35%, José Pimentel (PT) 31%, Tarcísio Leitão (PCB) 3%, Alexandre Pereira (PPS) 2%, Marilene Torres (Psol) 2%, Raquel Dias (PSTU) 1%, Benedito Oliveira (PCB) 1%, Reginaldo Araújo (PSTU) 1%."
2010-DF-019,2010,DF,Datafolha,28-29/09,141.0,11,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Datafolha 28-29/09 - Cristovam Buarque (PDT) 48%, Rodrigo Rollemberg (PSB) 38%, Alberto Fraga (DEM) 24%, Maria Abadia (PSDB) 23%, Pastor (Milton Tadashi (PTN) 2%, Chico Sant'anna (Psol) 1%, Rosana Chaib (PCB) 1%, Gerônimo (PSL) 1%, Moacir Bueno (PV) 1%, Jorge Antunes (Psol) 1%, Cadu Valadares (PV) 1%."
2010-DF-020,2010,DF,Ibope,21-23/09,143.0,10,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 21-23/09 - Cristovam Buarque (PDT) 50%, Rodrigo Rollemberg (PSB) 41%, Maria Abadia (PSDB) 24%, Alberto Fraga (DEM) 20%, Cadu Valadares (PV) 2%, Chico Sant'anna (Psol) 2%, Jorge Antunes (Psol) 1%, Pastor Milton Tadashi (PTN) 1%, Moacir Bueno (PV) 1%, Robson (PSTU) 1%."
2010-DF-021,2010,DF,Datafolha,21-22/09,126.0,7,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Datafolha 21-22/09 - Cristovam Buarque (PDT) 45%, Rodrigo Rollemberg (PSB) 36%, Maria Abadia (PSDB) 22%, Alberto Fraga (DEM) 18%, Chico Sant'anna (Psol) 2%, Pastor Milton Tadashi (PTN) 2%, Rosana Chaib (PCB) 1%."
